Romulo;1.0;120;40;5;12
Joao gris;150.0;120;40;5;24
Pontes;300.0;120;40;1;24
Emanuel;100.0;10;1;1;24
Renan;120.0;120;40;5;12
marcao;10.0;120;40;5;24
leo;300.0;120;40;1;12
Eeee;100.0;10;1;1;24
Wesley;1260.0;149;7;6;36
Renan;6000.0;9;7;6;36
maracutaia;1283.0;5;6;6;12
leo;6230.0;27;10;3;36
Kevin;12000.0;24;8;4;12
romulo;6000.0;41;12;2;12
romulo;4000.0;52;29;4;12
romulo;8000.0;273;122;4;12
romulo;0.0;65;150;4;12
romulo;2620.0;40;164;2;36
ponte;6000.0;82;24;2;12
emanuel;6000.0;42;13;2;12
leo;6000.0;27;10;3;12
Teste;4000.0;42;16;2;12
leo;12000.0;35;10;4;12
leo;2000.0;49;31;2;12
Emanuel;6000.0;30;10;2;12
Mazzer;8000.0;88;21;2;12
Mazzer;6000.0;211;84;3;36
lolzera;9000.0;48;14;3;12
lolzera;6000.0;215;84;3;36
